ExceptionType|SourceSystem|TradeId|NotionalAmount|Currency|BooKId|TraderPeoplesoftId
FX|NFOS|235663|234|USD|345436|44596765
FX|NFOS|435436|325|USD|345436|43567809
FX|NFOS|12435|2355|GBP|345436|42009811
FX|NFOS|56565|235235|RUB|345436|40990873
FX|NFOS|435566|2312|GBP|435695|44125200
FX|NFOS|675897|7868|USD|400212|10025326
FX|NFOS|433455|8458|GBP|100235|78521000
FX|NFOS|444455|2335|RUB|128632|85412742
FX|NFOS|900210|8523|USD|913245|12450863
FX|NFOS|1002385|1002|GBP|840032|12000025
FX|NFOS|784956|2008|GBP|451752|85623125
FX|NFOS|203751|8452|GBP|856230|752103
FX|NFOS|900852|234|USD|852301|31002536
FX|NFOS|700212|325|USD|214503|21547856
FX|NFOS|500258|2355|USD|102345|13651240
FX|NFOS|300202|235235|GBP|102478|12045874
